DATE,AFRIB,ALRCB,BFBLRIB,BLBLRCB,CEMENT,CIC,CPI,CRUDEBRUSD,DEPBANKSYS,DEPOIB,SDEPOIB,EXSITC0,EXSITC1,EXSITC2,EXSITC3,EXSITC4,EXSITC5,EXSITC6,EXSITC7,EXSITC8,EXSITC9,EXTOT,FIAQUA,FIXTOT,FIXECB,FIXEIB,FOLOPRO,FOSBPRO,FOSWPRO,IMSITC0,IMSITC1,IMSITC2,IMSITC3,IMSITC4,IMSITC5,IMSITC6,IMSITC7,IMSITC8,IMSITC9,IMTOT,IOSADMIN,IOSOTHER,IOSTOT,IPIELEC,IPIMFG,IPIMIN,IPITOT,JOBCREATE,LGC,LIC,LOANBS,LOANCB,LOANIB,LOANMB,MDTS,MSM1,MSM2,MSM3,MVIVA,PPIA,PPIB,PPIC,PPID,PPIE,PPITOT,QCS,RIVA,RIVO,SAVDEP,SDRIB,SLENE,SLMFG,SLNMET,SLPET,SLTEX,SLTRA,SLWOOD,SWIPRO,TOURIST,UERATE,USDEXC,WMVSMR,WMVSMRM,WMVSMVA,WRTS,WRTSAF,WRTSFNB,WRTSGRG,WRTSICE,WRTSNSS,WRTSOG,WRTSOHE,WSTIVO,WSTSAGRI,WSTSFEE,WSTSFNB,WSTSHHG,WSTSMES,GDPGR
Jan-05,,5.98,,,,78.8,86.5,48.2,,,,788.861275,150.089998,1048.181046,5309.253984,1977.781692,2414.038394,2812.050505,20730.33277,3356.282447,618.936823,39205.80893,,,,,,,,1529.79419,161.791975,680.067919,2464.632538,151.67021,2607.364128,3657.266275,17478.47521,1617.359596,897.365947,31245.78799,,,,65.29721577,67.95853315,107.0497887,77.24039609,,72.3,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.032,,3.8,,,,,,,,,,,,,,,,,,
Feb-05,,5.95,,,,79.2,86.6,51.75,,,,721.091699,105.10496,916.562834,4819.221845,1696.436111,2444.808902,2904.230702,19613.11622,3037.587897,566.643789,36824.80496,,,,,,,,1140.178872,94.604447,825.927148,2252.27938,152.237352,2507.166471,3440.531964,16738.23149,1514.25802,794.397713,29459.81286,,,,60.57861548,62.12167888,94.14698637,69.78769837,,72.6,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.55,,3.8,,,,,,,,,,,,,,,,,,
Mar-05,,5.9,,,,79.7,86.6,55.4,,,,936.103843,134.578062,1209.15404,6103.839315,2247.228259,2902.855983,3670.304633,25186.51536,3882.694922,713.822613,46987.09703,,,,,,,,1464.390135,112.227013,892.241112,2995.007694,239.012334,3080.483459,3944.405453,20838.32985,1790.991798,1181.278957,36538.3678,,,,70.66205726,72.8742108,109.3177684,81.57317884,,72.8,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.275,,3.8,,,,,,,,,,,,,,,,,,
Apr-05,,5.97,,,,79.4,86.8,49.72,,,,843.887467,157.084688,1185.318329,5898.350316,1999.962327,2749.274618,3415.280621,23173.97786,3746.145164,628.249733,43797.53113,,,,,,,,1693.925472,101.118493,750.992812,2511.545975,181.227717,2808.986013,3948.968133,20104.89579,1781.044034,1114.16998,34996.87442,,,,68.6176481,70.39008563,97.85642479,76.98379316,,73.6,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.749,,3.8,,,,,,,,,,,,,,,,,,
May-05,,5.94,,,,79,87.5,51.97,,,,862.581569,128.087299,1092.293109,5420.482805,2308.730344,2476.513782,3194.583004,23048.96142,3736.816208,646.820046,42915.86959,,,,,,,,1226.076065,108.926427,1063.561984,3019.164288,137.500656,2816.853271,4235.280529,20448.11721,1813.673428,1091.274108,35960.42796,,,,70.59275526,69.69151738,93.07076785,75.49594026,,73.7,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.141,,3.8,,,,,,,,,,,,,,,,,,
Jun-05,,5.9,,,,79.3,87.6,56.5,,,,884.680773,156.207545,1161.343133,5391.298443,2308.384638,2305.038246,3205.365207,24945.18502,3686.800766,705.418028,44749.7218,,,,,,,,1568.560633,99.609494,892.078237,2974.932013,164.00587,2936.190663,4362.001616,20761.38915,1871.606154,1100.793088,36731.16692,,,,69.35398191,70.00321925,95.89739375,76.29940554,,74.3,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.051,,3.8,,,,,,,,,,,,,,,,,,
Jul-05,,5.9,,,,79,87.6,60.57,,,,876.860366,140.900318,1258.039651,5629.817382,1802.927951,2441.360398,3179.581925,23897.6434,3881.523911,675.634251,43784.28955,,,,,,,,1575.732681,115.861183,941.283681,2988.344107,186.153751,2910.845341,4189.606856,21675.853,1952.563827,1063.197652,37599.44207,,,,69.71781744,72.05707632,101.7470419,79.14420133,,73.6,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.276,,3.7881,,,,,,,,,,,,,,,,,,
Aug-05,,5.91,,,,79.6,88.2,68.94,,,,960.401471,125.040005,1234.18654,6541.930033,2080.396616,2657.439982,3207.571532,25269.76133,3967.314638,702.270759,46746.31291,,,,,,,,1357.42438,90.406378,856.341586,2561.115689,135.46085,2954.888973,3887.09175,21792.87887,1914.532465,1104.317136,36654.45807,,,,71.12118305,73.60397797,103.3880133,80.70812807,,74.5,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393.666,,3.758736364,,,,,,,,,,,,,,,,,,
Sep-05,,5.9,,,,80,88.4,66.24,,,,1007.950141,154.316018,1269.921286,6380.222967,2250.216706,2668.539892,3346.866459,26020.78295,4190.680431,727.373571,48016.87042,,,,,,,,1497.565628,111.094222,1003.436805,3513.235235,96.626855,2863.9003,3958.101431,23689.94351,2058.178681,1175.606199,39967.68886,,,,69.46659767,74.46808583,100.3466753,80.47799545,,74.6,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.027,,3.768638636,,,,,,,,,,,,,,,,,,
Oct-05,,5.95,,,,80.3,88.6,59.76,,,,1042.556403,142.102232,1379.058297,6678.643329,2223.464293,3001.032794,3409.084826,26910.72697,4246.846585,714.726981,49748.24271,,,,,,,,1674.862101,106.457684,920.293391,3267.584543,231.900276,2828.222289,4470.794508,22267.37575,2174.43132,1187.436327,39129.35819,,,,68.34910283,76.45661216,105.1196334,82.92140442,,75,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.735,,3.773011905,,,,,,,,,,,,,,,,,,
